time,yaw_rate_deg,steering_angle_deg
9.25999999999998,0.93371418,-4.5
9.27999999999998,0.93371418,-4.4
9.29999999999998,1.143537592,-4.4
9.31999999999998,0.93371418,-4.4
9.33999999999998,0.584008495,-4.3
9.35999999999998,1.073596454,-4.3
9.37999999999998,1.073596454,-4.2
9.39999999999998,1.073596454,-4.1
9.41999999999998,0.653949632,-4.1
9.43999999999998,0.653949632,-4
9.45999999999998,0.863773043,-3.8
9.47999999999998,1.073596454,-3.8
9.49999999999997,1.003655317,-3.7
9.51999999999997,1.003655317,-3.7
9.53999999999997,0.93371418,-3.5
9.55999999999997,0.793831906,-3.3
9.57999999999997,1.003655317,-3.1
9.59999999999997,0.863773043,-3
9.61999999999997,0.723890769,-3
9.63999999999997,0.723890769,-2.8
9.65999999999997,0.93371418,-2.7
9.67999999999997,0.93371418,-2.6
9.69999999999997,0.723890769,-2.4
9.71999999999997,0.514067358,-2.4
9.73999999999997,0.584008495,-2.2
9.75999999999997,0.723890769,-2
9.77999999999997,0.793831906,-1.7
9.79999999999997,0.444126221,-1.6
9.81999999999997,0.584008495,-1.6
9.83999999999997,0.584008495,-1.4
9.85999999999997,0.514067358,-1.2
9.87999999999997,0.233428545,-1.1
9.89999999999997,0.584008495,-1
9.91999999999997,0.514067358,-1
9.93999999999997,0.304243946,-0.9
9.95999999999997,0.304243946,-0.7
9.97999999999996,0.164361672,-0.6
9.99999999999996,0.093546271,-0.4
10.02,0.024479398,-0.4
10.04,0.164361672,-0.3
10.06,0.444126221,-0.1
10.08,0.164361672,0.1
10.1,-0.11627714,0.2
10.12,0.374185083,0.2
10.14,0.093546271,0.3
10.16,0.233428545,0.5
10.18,0.024479398,0.6
10.2,-0.256159415,0.7
10.22,-0.11627714,0.7
10.24,-0.186218278,0.7
10.26,-0.256159415,0.7
10.28,-0.326100552,0.7
10.3,-0.186218278,0.7
10.32,-0.396041689,0.7
10.34,-0.396041689,0.7
10.36,-0.535923963,0.7
